Orden;Empresa;Cotiza;Codact;Ventas;Capital;Recprop;Acttot;Benefico;Inmovil;Cashflow;Rentab;Plantill;Cashvent;Ventinmv;Ventact;Ventplan;Inmoactt;Benvent;Benrecpr;Bencap;Filter_$
185;Tudor;1;10;23416;7875;18552;38374;-1121;19206;-118;-6;1608;-0,005039289;1,219202333;0,610204826;14,56218905;0,500495127;-0,047873249;-0,060424752;-0,142349206;0
186;N. Montaña Quijano;1;11;23379;20102;26393;37906;693;32113;1922;3;591;0,082210531;0,728022919;0,616762518;39,55837563;0,84717459;0,029641986;0,026256962;0,034474182;1
187;Obrascón;1;5;23117;2628;6438;20593;923;2445;1137;14;578;0,049184583;9,454805726;1,12256592;39,99480969;0,118729665;0,039927326;0,143367505;0,351217656;1
188;Endesa;0;14;22808;600;133679;144283;91;137619;4713;0;238;0,206638022;0,165732929;0,158078221;95,83193277;0,953812993;0,003989828;0,000680735;0,151666667;1
189;AEG Ibérica;0;10;22723;5136;5580;13330;-1367;2147;-1128;-24;700;-0,049641333;10,58360503;1,704651163;32,46142857;0,161065266;-0,06015931;-0,244982079;-0,266160436;0
190;SE del Oxigeno;1;15;22626;6191;20600;31041;3207;15653;5104;16;879;0,22558119;1,445473711;0,72890693;25,74061433;0,504268548;0,141739592;0,155679612;0,518010015;1
191;Dumez Copisa;0;5;22413;3179;2421;19568;-4841;1157;-4670;-200;1212;-0,208361219;19,37165082;1,145390433;18,49257426;0,059127146;-0,21599072;-1,999586948;-1,522805914;0
192;Mobil Oil;0;14;22367;520;1864;7711;-686;3727;-396;-37;166;-0,017704654;6,001341562;2,900661393;134,7409639;0,483335495;-0,030670184;-0,368025751;-1,319230769;0
193;Moulinex España;1;10;22249;1075;7220;19577;556;4441;1221;8;1255;0,054878871;5,009907678;1,136486694;17,72828685;0,226847832;0,024989887;0,07700831;0,517209302;1
194;AT & Nerwork Systems España;0;10;22244;7995;7535;47346;-6067;19540;-5077;-81;768;-0,228241324;1,138382805;0,469817936;28,96354167;0,412706459;-0,272747707;-0,805175846;-0,758849281;0
195;Focoex;0;4;22225;1650;3824;14082;271;2957;336;7;97;0,01511811;7,516063578;1,57825593;229,1237113;0,209984377;0,012193476;0,070868201;0,164242424;1
196;Teka Industrial;0;6;21547;1200;7346;16855;1602;8479;1800;22;405;0,083538312;2,541219483;1,27837437;53,20246914;0,503055473;0,074349097;0,218077866;1,335;1
197;Sacir;0;5;21145;785;2298;9433;1187;1230;1542;52;885;0,072925041;17,19105691;2,241598643;23,89265537;0,1303933;0,056136202;0,516536118;1,512101911;1
198;Anecoop;0;1;21092;535;871;3722;76;568;118;9;63;0,005594538;37,13380282;5,666845782;334,7936508;0,152606126;0,003603262;0,087256028;0,142056075;1
199;Hidroeléctricas del Segre;0;7;20734;5500;13512;31287;10;27632;1305;0;327;0,062940098;0,750361899;0,662703359;63,40672783;0,883178317;0,0004823;0,000740083;0,001818182;1
200;Laboratorios Almirall;0;15;20308;3000;9651;22520;1536;10251;1995;16;973;0,098237148;1,981075017;0,901776199;20,87153135;0,455195382;0,075635218;0,159154492;0,512;1
201;Aluminia Española;0;11;20184;23000;27460;47730;-3903;37204;-1036;-14;678;-0,051327784;0,542522309;0,422878693;29,7699115;0,77946784;-0,193370987;-0,142134013;-0,169695652;0
202;EM Transportes de Madrid;0;17;20173;9712;8272;22399;-3158;14075;-992;-38;6716;-0,049174639;1,433250444;0,900620563;3,003722454;0,628376267;-0,156545878;-0,381769826;-0,325164745;0
203;Pascual Hermanos;1;1;20076;8726;4995;14381;-2442;8544;-1851;-49;5074;-0,092199641;2,349719101;1,396008622;3,956641703;0,594117238;-0,121637776;-0,488888889;-0,279853312;0
204;John Deere Ibérica;0;6;19945;4100;5698;12378;-2130;2550;-1521;-37;1046;-0,076259714;7,821568627;1,611326547;19,06787763;0,206010664;-0,106793683;-0,373815374;-0,519512195;0
205;Paradores de Turismo;0;18;19784;15889;17241;21037;388;14368;1492;2;4300;0,075414476;1,376948775;0,940438275;4,600930233;0,682987118;0,019611808;0,022504495;0,02441941;1
206;Porland Valderrivas;1;3;19760;3630;36092;50164;3683;45510;5970;10;552;0,302125506;0,434190288;0,393907982;35,79710145;0,907224304;0,18638664;0,102044774;1,014600551;1
207;Arrocerías Herba;0;1;19543;2500;9582;19361;808;12175;1061;8;308;0,054290539;1,605174538;1,009400341;63,4512987;0,628841485;0,041344727;0,084324776;0,3232;1
208;Hisalba;1;3;19447;15228;28454;58580;-3620;49385;599;-13;689;0,030801666;0,393783538;0,33197337;28,22496372;0,843035166;-0,186146964;-0,127222886;-0,237719989;1
209;Unisys España;0;8;19177;1220;5038;16495;-3816;1459;-2927;-76;635;-0,152630756;13,1439342;1,162594726;30,2;0,088451046;-0,198988371;-0,75744343;-3,127868852;0
210;Metro de Madrid;0;17;19031;2340;58518;118882;-405;96209;4652;-1;5776;0,244443277;0,197808937;0,160083108;3,29484072;0,809281472;-0,021281068;-0,006920947;-0,173076923;1
211;Starlux;0;1;18948;7400;11461;14375;1513;3094;1853;13;607;0,097793962;6,124111183;1,318121739;31,21581549;0,215234783;0,079850116;0,132012913;0,204459459;1
212;Informática El Corte Inglés;0;4;18818;;3131;6601;466;467;775;15;110;0,041183973;40,29550321;2,850780185;171,0727273;0,070746857;0,024763524;0,148834238;;1
213;Asland;1;3;18522;23118;102694;109400;1525;84559;3598;1;327;0,19425548;0,219042325;0,169305302;56,64220183;0,772934186;0,082334521;0,014849943;0,065965914;1
214;Seda de Barcelona;1;18;18288;5035;5079;22191;-7193;14012;-5862;-142;1887;-0,320538058;1,305167;0,824117886;9,691573927;0,631427155;-0,393318023;-1,416223666;-1,428599801;0
215;Sidmed;0;11;18209;17500;17916;34442;-254;27383;1686;-1;995;0,092591576;0,664974619;0,528685907;18,30050251;0,795046745;-0,013949146;-0,014177272;-0,014514286;1
216;Productos Asfálticos;0;9;18014;525;1448;7308;662;1627;810;46;143;0,044965027;11,07191149;2,464969896;125,972028;0,222632731;0,036749195;0,45718232;1,260952381;1
217;EN Eléctronica de Córdoba;0;7;17617;9000;12225;17681;2001;12106;4569;16;187;0,259351763;1,455228812;0,996380295;94,20855615;0,68468978;0,113583471;0,163680982;0,222333333;1
218;Metalúrgica Galicia;0;11;17486;550;11278;14873;1904;4978;3063;17;296;0,175168706;3,512655685;1,175687487;59,07432432;0,334700464;0,10888711;0,16882426;3,461818182;1
219;Valenciana de Cementos;1;3;17149;25122;26832;66729;-3730;51326;-2901;-14;1094;-0,169164383;0,33411916;0,25699471;15,67550274;0,769170825;-0,217505394;-0,139013119;-0,14847544;0
220;Alcofarsa;0;4;17103;560;501;3202;42;1506;201;8;196;0,011752324;11,35657371;5,341349157;87,26020408;0,470331043;0,00245571;0,083832335;0,075;1
221;Discoa;0;4;16960;250;962;2351;-3;860;29;0;280;0,001709906;19,72093023;7,21395151;60,57142857;0,365801786;-0,000176887;-0,003118503;-0,012;1
222;Televisión de Cataluña;0;16;16910;2500;18681;27097;-5388;7743;-4076;-29;1367;-0,241040804;2,183908046;0,624054323;12,37015362;0,28575119;-0,318628031;-0,288421391;-2,1552;0
223;Petroquímica Española;0;15;16608;625;5500;10873;1955;3804;2737;36;240;0,164800096;4,365930599;1,527453325;69,2;0,349857445;0,117714355;0,355454545;3,128;1
224;Prosegur;1;18;15985;5200;10089;20156;793;15449;1024;8;3991;0,064060056;1,034694802;0,7930641;4,005261839;0,766471522;0,049609008;0,078600456;0,1525;1
225;Vias y Construcciones;0;5;15740;720;3758;13437;737;1691;912;20;213;0,05794155;9,308101715;1,171392424;73,89671362;0,125846543;0,04682338;0,196114955;1,023611111;1
226;Bodegas y Bebidas;1;1;15730;3557;10631;19809;754;7544;1164;7;628;0,073998729;2,085100742;0,794083497;25,0477707;0,380836993;0,047933884;0,070924654;0,211976385;1
227;Hullera Vasco-Leonesa;1;12;15622;3420;12121;20997;1096;14189;2007;9;1547;0,128472667;1,100993728;0,744011049;10,09825469;0,675763204;0,07015747;0,090421582;0,320467836;1
228;Frint España;0;4;15620;500;604;13758;18;1217;25;3;14;0,001600512;12,83483977;1,135339439;1115,714286;0,088457625;0,001152369;0,029801325;0,036;1
229;SKF Española;0;6;15117;2862;-541;10757;-4026;5058;-3416;744;982;-0,225970761;2,988730724;1,405317468;15,39409369;0,470205448;-0,266322683;7,441774492;-1,406708595;0
