Orden;Empresa;Cotiza;Codact;Ventas;Capital;Recprop;Acttot;Benefico;Inmovil;Cashflow;Rentab;Plantill;Cashvent;Ventinmv;Ventact;Ventplan;Inmoactt;Benvent;Benrecpr;Bencap;Filter_$
102;Lain;1;5;41097;3600;7238;41765;902;3570;1257;12;1414;0,030586174;11,51176471;0,984005746;29,06435644;0,085478271;0,021948074;0,124620061;0,250555556;1
103;Asturiana de Zinc;1;11;40953;15400;11240;59182;-9342;43027;-6396;-83;1789;-0,156179035;0,951797708;0,691984049;22,89155953;0,727028488;-0,228115156;-0,83113879;-0,606623377;0
104;Rank Xerox;0;8;40848;4200;7412;32184;64;12791;3339;0;1586;0,081742068;3,193495426;1,269202088;25,75535939;0,397433507;0,001566784;0,008634647;0,015238095;1
105;Aceprosa;1;1;40759;4234;7149;20138;-1197;7614;-633;-17;540;-0,015530312;5,353165222;2,023984507;75,47962963;0,378091171;-0,029367747;-0,167436005;-0,282711384;0
106;Zardoya Otis;1;6;40568;6597;11988;36101;5130;7667;6243;43;3643;0,153889765;5,291248207;1,123736185;11,13587702;0,212376388;0,126454348;0,427927928;0,777626194;1
107;Corporación Banesto;1;18;40163;22258;251116;299950;5654;213954;5676;2;34;0,141324104;0,187717921;0,133898983;1181,264706;0,713298883;0,140776336;0,022515491;0,254021026;1
108;Hunosa;0;12;39634;2250;5570;161661;-1593;118080;5042;-29;14341;0,127214008;0,335653794;0,245167356;2,763684541;0,730417355;-0,040192764;-0,285996409;-0,708;1
109;Mahou;0;1;39016;3500;41124;60732;5076;38967;8629;12;1507;0,221165676;1,001257474;0,642429032;25,88984738;0,641622209;0,130100472;0,123431573;1,450285714;1
110;Auxini;0;5;38773;5200;7393;29124;957;6342;1434;13;1681;0,0369845;6,113686534;1,331307513;23,06543724;0,21775855;0,024682124;0,129446774;0,184038462;1
111;Carburos Metálicos;1;15;38172;13012;33502;63802;1702;40480;5065;5;1508;0,132688882;0,94298419;0,598288455;25,31299735;0,63446287;0,044587656;0,050802937;0,130802336;1
112;Koipe;1;1;37982;4307;13916;24125;1007;17148;1366;7;432;0,035964404;2,214952181;1,57438342;87,9212963;0,710797927;0,026512559;0,072362748;0,233805433;1
113;FNMT;0;18;37809;1672;29971;52091;276;27878;2144;1;2002;0,056706075;1,35623072;0,725825958;18,88561439;0,535178822;0,007299849;0,009208902;0,16507177;1
114;Renault V. Industriales;0;2;37587;2000;1336;16123;-3471;5139;-2938;-260;1441;-0,078165323;7,314068885;2,331265893;26,08396947;0,318737208;-0,092345758;-2,598053892;-1,7355;0
115;Hermandad Far. del Med.;0;4;37056;669;1693;10529;44;1823;162;3;445;0,004371762;20,32693363;3,519422547;83,27191011;0,173140849;0,001187392;0,025989368;0,065769806;1
116;Viajes Ecuador;0;18;36655;430;472;6504;238;1378;346;50;760;0,009439367;26,60014514;5,635762608;48,23026316;0,211869619;0,006492975;0,504237288;0,553488372;1
117;Vicasa;0;18;38562;6684;20968;41367;1539;22988;4932;7;2478;0,127897931;1,677483905;0,932192327;15,56174334;0,555708657;0,039909756;0,073397558;0,230251346;1
118;Rover España;0;4;36423;250;1707;11568;386;692;461;23;115;0,012656838;52,63439306;3,148599585;316,7217391;0,059820194;0,010597699;0,226127709;1,544;1
119;Autoservios Caprabo;0;4;36138;493;6945;14114;1165;5421;1680;17;1628;0,046488461;6,666297731;2,560436446;22,1977887;0,384086722;0,032237534;0,16774658;2,363083164;1
120;Azucarera Española;1;1;36031;4119;22178;30703;1831;15975;4069;8;935;0,112930532;2,255461659;1,173533531;38,53582888;0,520307462;0,050817352;0,082559293;0,44452537;1
121;B. Wilcox Española;0;6;35949;21733;8754;47456;-10998;18106;-9953;-126;2288;-0,276864447;1,985474428;0,757522758;15,71197552;0,381532367;-0,305933406;-1,256339959;-0,506050706;0
122;Lactaria Española;0;1;35655;9500;510;15501;100;5674;627;20;669;0,017585191;6,283926683;2,300174182;53,29596413;0,366040901;0,002804656;0,196078431;0,010526316;1
123;San Miguel;1;1;35621;4536;19778;28171;1599;16985;4412;8;1277;0,123859521;2,097203415;1,264456356;27,89428348;0,602924994;0,044889251;0,080847406;0,352513228;1
124;Transmediterránea;0;17;35617;3022;33131;54444;2654;39569;5440;8;2532;0,152736053;0,900123834;0,654195136;14,06674566;0,726783484;0,074514979;0,080106245;0,87822634;1
125;Ciba-Geigy;0;15;35369;5150;8493;22478;-202;9356;211;-2;852;0,005965676;3,780354853;1,573494083;41,5129108;0,416229202;-0,005711216;-0,023784293;-0,039223301;1
126;Anglo Española Distribución;0;4;35301;25;4857;27161;2275;16818;2885;47;127;0,08172573;2,09900107;1,299694415;277,9606299;0,619196642;0,064445766;0,468396129;91;1
127;Ginéz Navarra;0;5;35185;1040;9086;46009;567;14132;828;6;845;0,023532755;2,489739598;0,764741681;41,63905325;0,307157295;0,016114822;0,062403698;0,545192308;1
128;Agra;0;1;35158;1085;3831;19188;-239;9315;1526;-6;558;0,043404062;3,774342458;1,832291015;63,00716846;0,485459662;-0,006797884;-0,0623858;-0,220276498;1
129;Urbis;1;5;35151;13921;36531;103641;2021;28482;2305;6;167;0,065574237;1,234147883;0,339161143;210,4850299;0,274814021;0,057494808;0,055322876;0,145176352;1
130;Puleva;1;1;34815;2844;10111;32714;194;26576;1619;2;1214;0,046502944;1,310016556;1,064223268;28,67792422;0,812373907;0,005572311;0,019187024;0,068213783;1
131;Consum;0;4;34255;745;1531;13956;331;8384;1024;22;1557;0,029893446;4,085758588;2,454499857;22,00064226;0,600745199;0,009662823;0,216198563;0,444295302;1
132;Benckiser;0;15;30013;8080;8224;38244;172;29949;365;2;160;0,012161397;1,002136966;0,784776697;187,58125;0,783103232;0,00573085;0,020914397;0,021287129;1
133;Balay;0;10;33979;4794;10388;19242;725;5828;1943;7;1452;0,057182377;5,83030199;1,765876728;23,40151515;0,302879119;0,021336708;0,069792068;0,151230705;1
134;Aguas de Barcelona;1;16;33581;20132;75490;98343;5373;84831;8862;7;1251;0,263899229;0,395857646;0,341468127;26,84332534;0,862603337;0,160001191;0,07117499;0,266888536;1
135;CAF;1;6;33422;1714;9502;35023;1561;9642;2672;16;2785;0,07994734;3,4662933;0,954287183;12,00071813;0,2753048;0,046705763;0,164281204;0,910735123;1
136;Enusa;0;12;33202;10000;23374;85809;2117;30873;3243;9;730;0,097674839;1,075438085;0,38692911;45,48219178;0,359787435;0,063761219;0,09057072;0,2117;1
137;Diario el País;0;18;33148;3000;6171;11946;5032;6317;6287;82;815;0,189664535;5,247427576;2,774820023;40,67239264;0,52879625;0,15180403;0,815426997;1,677333333;1
138;Elecnor;1;10;33078;1500;6863;22186;1125;4946;1582;16;2760;0,04782635;6,687828548;1,490940233;11,98478261;0,222933381;0,034010521;0,163922483;0,75;1
139;Cepsa Red;0;4;32916;6296;6228;28497;1661;17557;2474;27;560;0,075161016;1,874807769;1,155068955;58,77857143;0,61609994;0,050461782;0,26669878;0,263818297;1
140;Quimidroga;0;4;32801;58;2965;14250;195;2092;324;7;313;0,009877748;15,6792543;2,301824561;104,7955272;0,146807018;0,005944941;0,065767285;3,362068966;1
141;Eulen;1;18;32696;680;3527;16839;216;3045;658;6;15740;0,020124786;10,73760263;1,941682998;2,0772554;0,180830216;0,006606313;0,061241849;0,317647059;1
142;Damm;1;1;32566;7049;18117;37091;4798;20204;7236;26;1062;0,222194927;1,611859038;0,87800275;30,66478343;0,544714351;0,147331573;0,264834134;0,680663924;1
143;Aluminio Español;0;11;32155;31679;35755;67773;-5945;54538;-3349;-17;882;-0,104151765;0,58958891;0,474451478;36,4569161;0,804715742;-0,18488571;-0,166270452;-0,187663752;0
144;Vall Companys;0;1;32132;188;16511;20058;1613;4841;1839;10;95;0,057232665;6,637471597;1,601954332;338,2315789;0,241350085;0,050199178;0,097692447;8,579787234;1
